Epoch,im_loss,re_loss,all_loss,psnr
2001,1.1690958738327026,0.0,1.1690958738327026,36.565955275209504
2002,0.6408860683441162,0.0,0.6408860683441162,35.613596795089876
2003,1.2765541076660156,0.0,1.2765541076660156,36.414616676619055
2004,1.273362636566162,0.0,1.273362636566162,35.34538308040885
2005,0.3431113362312317,0.0,0.3431113362312317,35.34756780618093
2006,0.21338506042957306,0.0,0.21338506042957306,32.73773324226723
2007,3.168076992034912,0.0,3.168076992034912,36.950954825826976
2008,0.835561990737915,0.0,0.835561990737915,36.5473679360645
2009,0.6803861856460571,0.0,0.6803861856460571,35.73856977753601
2010,1.125380277633667,0.0,1.125380277633667,36.62329540300515
2011,0.042108356952667236,0.0,0.042108356952667236,36.123587572115994
2012,0.8463283181190491,0.0,0.8463283181190491,36.6207396014738
2013,6.324908256530762,0.0,6.324908256530762,38.21753122858459
2014,0.9834039211273193,0.0,0.9834039211273193,34.87707933220548
2015,1.0724848508834839,0.0,1.0724848508834839,38.64553664359052
2016,4.943920135498047,0.0,4.943920135498047,35.51735140027049
2017,0.9738205671310425,0.0,0.9738205671310425,34.03410767407528
2018,0.44801148772239685,0.0,0.44801148772239685,34.64484889995628
2019,1.9520015716552734,0.0,1.9520015716552734,35.47886006478766
2020,0.8456575870513916,0.0,0.8456575870513916,39.08341240801597
2021,1.594029188156128,0.0,1.594029188156128,34.89473873134618
2022,0.7294363975524902,0.0,0.7294363975524902,34.690055090772624
2023,0.8877532482147217,0.0,0.8877532482147217,37.114209473069685
2024,0.7329103946685791,0.0,0.7329103946685791,35.23317568084276
2025,1.3586652278900146,0.0,1.3586652278900146,33.15200980278445
2026,0.09213213622570038,0.0,0.09213213622570038,35.3860159005034
2027,0.2724078297615051,0.0,0.2724078297615051,36.59861024401684
2028,0.25412508845329285,0.0,0.25412508845329285,33.27239516924849
2029,11.014698028564453,0.0,11.014698028564453,33.30410651925659
2030,1.108616590499878,0.0,1.108616590499878,33.96779563519642
2031,1.2700051069259644,0.0,1.2700051069259644,34.904183807815905
2032,2.323880672454834,0.0,2.323880672454834,38.21673006286111
2033,0.26861247420310974,0.0,0.26861247420310974,36.60206765950827
2034,3.30365252494812,0.0,3.30365252494812,36.09861014874517
2035,0.29736751317977905,0.0,0.29736751317977905,37.35192057077541
2036,0.9063181281089783,0.0,0.9063181281089783,35.72014672975749
2037,1.952651858329773,0.0,1.952651858329773,34.0999487975835
2038,2.0658586025238037,0.0,2.0658586025238037,36.00168350682626
2039,1.7414119243621826,0.0,1.7414119243621826,34.751125283513055
2040,0.19559553265571594,0.0,0.19559553265571594,34.30937318574721
2041,1.1344401836395264,0.0,1.1344401836395264,39.0051021079205
2042,0.5737720131874084,0.0,0.5737720131874084,34.912544545681726
