Epoch,im_loss,re_loss,all_loss,PPI_psnr,psnr
2001,2.140986262048994,0.0,2.140986262048994,14.498266024847908,31.066218565972115
2002,3.1281595298222133,0.0,3.1281595298222133,13.201048982969088,35.642832380448354
2003,2.401097992488316,0.0,2.401097992488316,16.77417211941403,34.385751798173715
2004,2.5149886131286623,0.0,2.5149886131286623,14.32781180844367,30.146702762362274
2005,2.0818907942090714,0.0,2.0818907942090714,16.649043221971638,33.004300674323176
2006,2.1572191987718856,0.0,2.1572191987718856,14.552861032592535,31.74456577988493
2007,2.5586124931062972,0.0,2.5586124931062972,13.283144427177083,29.68507858936701
2008,2.364887693950108,0.0,2.364887693950108,11.760681474482158,30.853734680377777
2009,2.1805346523012434,0.0,2.1805346523012434,15.443694121874032,30.002406454858548
2010,2.365928486415318,0.0,2.365928486415318,14.49334121505117,30.675366972830442
2011,2.2284163406917026,0.0,2.2284163406917026,13.821541353643497,30.397443293913188
2012,2.538387645993914,0.0,2.538387645993914,14.253843725729148,30.526422861432103
2013,2.19918498311724,0.0,2.19918498311724,16.017077164897124,31.71678720163325
2014,2.772709287915911,0.0,2.772709287915911,14.872870053156724,28.385903184449187
2015,2.0450445294380186,0.0,2.0450445294380186,15.006413946637036,29.59432387264959
2016,2.4077476569584437,0.0,2.4077476569584437,14.65335513716032,33.24440063066328
2017,2.769239613839558,0.0,2.769239613839558,15.508822345055624,33.21700351893129
2018,2.0285101447786604,0.0,2.0285101447786604,13.911681681158077,28.505223924907817
2019,2.7430059586252487,0.0,2.7430059586252487,13.095646171771707,31.63478544868568
2020,2.76584814616612,0.0,2.76584814616612,13.427947522064498,34.56616389414567
2021,2.422159460612706,0.0,2.422159460612706,15.061817571718358,33.60935815768596
2022,2.0893277764320373,0.0,2.0893277764320373,12.309902766523827,27.500667284218643
2023,1.6590314149856566,0.0,1.6590314149856566,13.070617976200491,31.267713518431506
2024,1.980696657725743,0.0,1.980696657725743,14.58909866314225,34.47824895447135
2025,2.5025901794433594,0.0,2.5025901794433594,13.74914382911504,31.444472583711676
2026,1.4952582563672747,0.0,1.4952582563672747,15.66943316593674,36.46669507027166
2027,1.5500430822372437,0.0,1.5500430822372437,16.90386525182373,30.858609475655058
2028,3.5104462248938426,0.0,3.5104462248938426,16.787045774278226,31.35436184162095
2029,2.706623452050345,0.0,2.706623452050345,15.003484260113556,30.148960919860905
2030,2.201509942327227,0.0,2.201509942327227,15.432241055920235,32.05156106207153
2031,2.4860310418265206,0.0,2.4860310418265206,14.067518618462492,32.27836886982877
2032,2.39173252923148,0.0,2.39173252923148,16.277596682863265,33.84102556816326
2033,2.324775620869228,0.0,2.324775620869228,15.166845069404506,28.766313961310637
2034,1.9701520647321429,0.0,1.9701520647321429,14.517436284506378,29.115005061851058
2035,2.6255893434797013,0.0,2.6255893434797013,14.261253141499775,32.37793092230598
2036,2.344705935886928,0.0,2.344705935886928,15.050459819346367,31.126704465577546
2037,2.188775437218802,0.0,2.188775437218802,15.581001624043404,31.231783937650256
2038,2.915954044886998,0.0,2.915954044886998,15.39947128783833,30.70125252721954
2039,1.4858361635889326,0.0,1.4858361635889326,13.879674477085631,29.01224682291425
2040,2.4496587344578336,0.0,2.4496587344578336,14.99766376879238,32.14042882434401
2041,2.471652282987322,0.0,2.471652282987322,15.714762449766367,32.06070966084035
2042,3.0943683998925344,0.0,3.0943683998925344,15.143393838082169,31.39327193384384
2043,1.8958228860582624,0.0,1.8958228860582624,17.322306667775422,30.54300512089716
2044,1.9422003780092512,0.0,1.9422003780092512,14.49670651762213,30.34325831006749
2045,2.351990682738168,0.0,2.351990682738168,14.029758991026961,30.42061068509808
2046,2.0484249114990236,0.0,2.0484249114990236,15.967265926645773,28.916981386692452
2047,1.9324883392878942,0.0,1.9324883392878942,16.21694536000306,32.34104340618409
2048,2.6664439014026096,0.0,2.6664439014026096,15.047170268528635,31.10568997177861
2049,2.4185997826712473,0.0,2.4185997826712473,13.213836318059762,32.11995050921993
2050,1.8613874503544399,0.0,1.8613874503544399,14.272243109145188,31.169358800370432
2051,1.7820850270135062,0.0,1.7820850270135062,14.516985160477724,32.98196132863724
2052,1.5862606525421143,0.0,1.5862606525421143,14.040809545325883,31.48677087059198
2053,2.802264451980591,0.0,2.802264451980591,13.195992618042045,30.67249351356136
2054,2.026392364501953,0.0,2.026392364501953,17.171149050483347,32.58730033517015
2055,3.0559079357555934,0.0,3.0559079357555934,15.034380051419614,30.528945428882754
2056,2.0319460017340525,0.0,2.0319460017340525,16.725259924177873,33.1151577379697
2057,2.082247734069824,0.0,2.082247734069824,14.18166660257204,31.79314493637596
2058,3.5825273854391915,0.0,3.5825273854391915,15.044866099519222,30.399407973440518
2059,1.9610414096287319,0.0,1.9610414096287319,14.856802560275806,34.601354533621226
2060,2.5881812163761686,0.0,2.5881812163761686,14.551747961863548,31.359561382522052
2061,2.348798894882202,0.0,2.348798894882202,15.25184194900665,31.304863448041665
2062,1.911391932623727,0.0,1.911391932623727,16.978793876698226,33.82779868501193
2063,2.8940454006195067,0.0,2.8940454006195067,17.418257709459645,31.94044443983423
2064,1.6330424445016043,0.0,1.6330424445016043,15.400593149376249,32.530830646646805
2065,2.8317912135805403,0.0,2.8317912135805403,17.462433561695608,31.580949812093053
2066,2.104367566108704,0.0,2.104367566108704,16.42022926252229,32.32971400609038
2067,1.2137173652648925,0.0,1.2137173652648925,17.383278071235786,33.8683059840156
2068,1.9327864476612635,0.0,1.9327864476612635,14.734315018110875,32.39086635785457
2069,2.4185017040797643,0.0,2.4185017040797643,14.653434576008657,33.83198031858143
2070,1.6796078647886004,0.0,1.6796078647886004,15.149185638277569,30.732351355221702
2071,1.9938184968062809,0.0,1.9938184968062809,13.162870601910544,31.01590728636781
2072,2.059699927057539,0.0,2.059699927057539,14.582231586756357,33.06352083996012
2073,2.355893966129848,0.0,2.355893966129848,14.754043108347314,32.38410003704111
2074,1.8917232819965908,0.0,1.8917232819965908,13.245576946553108,33.27639009902
2075,2.2302441017968313,0.0,2.2302441017968313,18.07140884509338,33.92918355612637
2076,3.411242198944092,0.0,3.411242198944092,12.893257718731778,33.9506920211692
2077,2.590276735169547,0.0,2.590276735169547,14.16587953064223,27.42402035152919
2078,2.808446516309466,0.0,2.808446516309466,13.480407728229045,30.847154458705557
2079,2.1501085111073084,0.0,2.1501085111073084,13.944591826820496,30.7512968418347
2080,1.6771128245762417,0.0,1.6771128245762417,13.402220978607243,31.21392193163321
2081,2.352448766572135,0.0,2.352448766572135,13.709774744864326,30.44838605532094
2082,2.616157415934971,0.0,2.616157415934971,13.309240241326874,32.93097725419298
2083,2.451238979612078,0.0,2.451238979612078,15.38547576686283,30.162563395882984
2084,2.921465151650565,0.0,2.921465151650565,14.780278766927612,31.950033239393672
2085,1.8566793305533273,0.0,1.8566793305533273,13.310379090388695,32.73281861176222
2086,2.347198680468968,0.0,2.347198680468968,16.32925720073736,34.37168949281561
2087,2.3743877138410294,0.0,2.3743877138410294,16.314515028007158,31.71345617888096
2088,2.2797146592821393,0.0,2.2797146592821393,13.360398356361545,30.95522935283757
2089,2.2263968399592806,0.0,2.2263968399592806,14.868440465727637,33.076060224674144
2090,2.669305753707886,0.0,2.669305753707886,15.113308436429683,29.90558554456683
2091,1.759766265324184,0.0,1.759766265324184,15.597717768588579,33.42654003239581
2092,2.0702106850487847,0.0,2.0702106850487847,13.67185012458105,30.731250332806518
2093,2.150259269986834,0.0,2.150259269986834,15.692759522044096,32.35065587508117
2094,2.3740436860493253,0.0,2.3740436860493253,17.209798417191493,32.80531466150961
2095,1.9745420592171805,0.0,1.9745420592171805,15.383367818880846,33.04043882739323
2096,2.3788327319281444,0.0,2.3788327319281444,14.346117020899014,31.867309482874372
2097,2.742157656805856,0.0,2.742157656805856,14.741525375284848,31.475571857231696
2098,2.273056072848184,0.0,2.273056072848184,14.480934444463184,32.59405633834237
